iter	Passed	Remaining
449	1100	1345
450	1102	1342
451	1104	1339
452	1106	1335
453	1108	1332
454	1110	1329
455	1111	1326
456	1113	1322
457	1114	1318
458	1116	1316
459	1118	1312
460	1120	1309
461	1122	1306
462	1125	1305
463	1127	1302
464	1129	1299
465	1131	1296
466	1133	1293
467	1134	1289
468	1136	1286
469	1138	1283
470	1139	1279
471	1141	1277
472	1143	1274
473	1145	1270
474	1146	1267
475	1148	1264
476	1150	1261
477	1152	1258
478	1156	1257
479	1158	1254
480	1159	1251
481	1161	1248
482	1163	1245
483	1165	1242
484	1169	1241
485	1173	1241
486	1175	1237
487	1177	1234
488	1178	1231
489	1180	1228
490	1182	1225
491	1185	1224
492	1187	1221
493	1189	1218
494	1190	1214
495	1193	1212
496	1195	1209
497	1197	1206
498	1199	1204
499	1200	1200
500	1202	1197
501	1204	1194
502	1206	1192
503	1208	1189
504	1209	1185
505	1211	1182
506	1212	1179
507	1215	1177
508	1217	1174
509	1219	1171
510	1221	1168
511	1223	1166
512	1225	1163
513	1227	1160
514	1229	1157
515	1231	1155
516	1233	1152
517	1234	1148
518	1236	1145
519	1238	1143
520	1240	1140
521	1242	1138
522	1246	1137
523	1248	1134
524	1250	1131
525	1252	1129
526	1255	1126
527	1256	1123
528	1258	1120
529	1262	1119
530	1264	1116
531	1266	1114
532	1268	1111
533	1270	1108
534	1272	1105
535	1274	1103
536	1276	1100
537	1278	1097
538	1280	1094
539	1282	1092
540	1283	1089
541	1285	1086
542	1287	1083
543	1289	1080
544	1291	1078
545	1293	1075
546	1295	1073
547	1297	1070
548	1299	1067
549	1301	1064
550	1303	1062
551	1307	1061
552	1308	1058
553	1310	1055
554	1312	1052
555	1314	1049
556	1315	1046
557	1317	1043
558	1319	1041
559	1322	1039
560	1324	1036
561	1326	1034
562	1328	1030
563	1330	1028
564	1333	1026
565	1335	1023
566	1337	1021
567	1338	1018
568	1340	1015
569	1341	1012
570	1343	1009
571	1345	1006
572	1347	1004
573	1349	1001
574	1353	1000
575	1355	997
576	1357	995
577	1359	992
578	1361	989
579	1362	986
580	1364	984
581	1367	981
582	1368	979
583	1370	976
584	1372	973
585	1374	970
586	1375	967
587	1377	965
588	1379	962
589	1380	959
590	1384	957
591	1385	955
592	1388	952
593	1390	950
594	1392	947
595	1393	944
596	1395	941
597	1399	941
598	1401	938
599	1403	935
600	1405	932
601	1406	930
602	1408	927
603	1410	924
604	1413	922
605	1416	920
606	1418	918
607	1420	915
608	1422	913
609	1424	910
610	1426	908
611	1429	906
612	1430	903
613	1432	900
614	1434	897
615	1436	895
616	1438	892
617	1440	890
618	1441	887
619	1445	885
620	1446	883
621	1448	880
622	1449	877
623	1451	874
624	1453	871
625	1457	870
626	1460	868
627	1462	866
628	1464	863
629	1466	861
630	1468	858
631	1470	856
632	1472	853
633	1475	851
634	1477	849
635	1478	846
636	1480	843
637	1482	840
638	1483	838
639	1485	835
640	1487	833
641	1490	831
642	1492	828
643	1494	825
644	1496	823
645	1498	820
646	1499	818
647	1501	815
648	1505	813
649	1506	811
650	1508	808
651	1510	806
652	1514	804
653	1516	802
654	1519	800
655	1521	797
656	1522	795
657	1524	792
658	1525	789
659	1527	787
660	1529	784
661	1531	781
662	1533	779
663	1536	777
664	1538	775
665	1541	772
666	1543	770
667	1545	767
668	1547	765
669	1549	763
670	1551	760
671	1553	758
672	1555	755
673	1560	754
674	1561	752
675	1563	749
676	1565	747
677	1567	744
678	1568	741
679	1570	739
680	1572	736
681	1574	734
682	1576	731
683	1581	730
684	1583	728
685	1585	725
686	1587	723
687	1589	720
688	1591	718
689	1592	715
690	1596	713
691	1597	711
692	1599	708
693	1601	706
694	1604	703
695	1605	701
696	1607	698
697	1610	696
698	1612	694
699	1614	691
700	1615	689
701	1618	686
702	1619	684
703	1620	681
704	1623	679
705	1625	677
706	1627	674
707	1630	672
708	1632	669
709	1633	667
710	1635	664
711	1639	662
712	1641	660
713	1644	658
714	1646	656
715	1647	653
716	1649	651
717	1651	648
718	1656	647
719	1659	645
720	1661	642
721	1662	640
722	1664	637
723	1666	635
724	1667	632
725	1672	631
726	1674	628
727	1676	626
728	1678	623
729	1680	621
730	1682	619
731	1684	616
732	1688	615
733	1690	612
734	1691	610
735	1693	607
736	1695	605
737	1697	602
738	1699	600
739	1701	597
740	1703	595
741	1705	592
742	1707	590
743	1709	588
744	1710	585
745	1712	583
746	1714	580
747	1717	578
748	1719	576
749	1720	573
750	1722	570
751	1724	568
752	1726	566
753	1728	563
754	1732	562
755	1734	559
756	1736	557
757	1739	555
758	1740	552
759	1743	550
760	1747	548
761	1749	546
762	1751	543
763	1752	541
764	1754	538
765	1755	536
766	1757	533
767	1759	531
768	1763	529
769	1765	527
770	1766	524
771	1768	522
772	1769	519
773	1770	517
774	1772	514
775	1774	512
776	1777	510
777	1779	507
778	1780	505
779	1782	502
780	1783	500
781	1785	497
782	1786	495
783	1788	492
784	1790	490
785	1793	488
786	1795	485
787	1797	483
788	1799	481
789	1801	478
790	1803	476
791	1805	474
792	1809	472
793	1810	469
794	1812	467
795	1813	464
796	1816	462
797	1818	460
798	1820	457
799	1824	456
800	1825	453
801	1827	451
802	1829	448
803	1831	446
804	1833	444
805	1835	441
806	1837	439
807	1840	437
808	1841	434
809	1843	432
810	1846	430
811	1847	427
812	1849	425
813	1851	423
814	1853	420
815	1855	418
816	1857	416
817	1859	413
818	1861	411
819	1863	409
820	1864	406
821	1866	404
822	1869	402
823	1871	399
824	1874	397
825	1875	395
826	1877	392
827	1880	390
828	1882	388
829	1885	386
830	1887	383
831	1889	381
832	1890	379
833	1892	376
834	1894	374
835	1896	372
836	1898	369
837	1900	367
838	1902	365
839	1904	362
840	1906	360
841	1908	358
842	1910	355
843	1911	353
844	1914	351
845	1916	348
846	1918	346
847	1919	344
848	1922	341
849	1924	339
850	1926	337
851	1929	335
852	1931	332
853	1933	330
854	1935	328
855	1937	325
856	1938	323
857	1940	321
858	1942	318
859	1945	316
860	1947	314
861	1948	312
862	1950	309
863	1952	307
864	1954	305
865	1957	302
866	1961	300
867	1963	298
868	1965	296
869	1967	293
870	1969	291
871	1971	289
872	1974	287
873	1976	284
874	1978	282
875	1979	280
876	1981	277
877	1982	275
878	1984	273
879	1989	271
880	1991	268
881	1993	266
882	1994	264
883	1996	261
884	1998	259
885	1999	257
886	2002	255
887	2005	252
888	2007	250
889	2008	248
890	2010	245
891	2011	243
892	2014	241
893	2016	239
894	2017	236
895	2020	234
896	2021	232
897	2023	229
898	2025	227
899	2027	225
900	2030	223
901	2032	220
902	2034	218
903	2037	216
904	2039	214
905	2040	211
906	2042	209
907	2044	207
908	2046	204
909	2048	202
910	2051	200
911	2053	198
912	2054	195
913	2056	193
914	2058	191
915	2059	188
916	2062	186
917	2064	184
918	2066	182
919	2067	179
920	2069	177
921	2071	175
922	2073	172
923	2075	170
924	2077	168
925	2081	166
926	2083	164
927	2084	161
928	2086	159
929	2088	157
930	2090	154
931	2091	152
932	2093	150
933	2096	148
934	2098	145
935	2100	143
936	2101	141
937	2103	139
938	2105	136
939	2107	134
940	2109	132
941	2111	130
942	2113	127
943	2115	125
944	2119	123
945	2121	121
946	2123	118
947	2126	116
948	2128	114
949	2130	112
950	2131	109
951	2135	107
952	2137	105
953	2139	103
954	2142	100
955	2144	98
956	2146	96
957	2148	94
958	2150	91
959	2152	89
960	2154	87
961	2157	85
962	2159	82
963	2160	80
964	2162	78
965	2164	76
966	2165	73
967	2167	71
968	2170	69
969	2173	67
970	2174	64
971	2176	62
972	2178	60
973	2180	58
974	2182	55
975	2184	53
976	2186	51
977	2188	49
978	2190	46
979	2192	44
980	2194	42
981	2196	40
982	2197	38
983	2200	35
984	2202	33
985	2203	31
986	2205	29
987	2207	26
988	2209	24
989	2211	22
990	2213	20
991	2214	17
992	2217	15
993	2219	13
994	2221	11
995	2223	8
996	2224	6
997	2226	4
998	2228	2
999	2231	0
